node_id,timestamp,x,y
1,2020-06-24 15:20:08.533,2762,-257
1,2020-06-24 15:20:08.620,2870,-344
1,2020-06-24 15:20:09.623,2916,-344
1,2020-06-24 15:20:09.623,2894,-254
1,2020-06-24 15:20:10.116,2888,-188
1,2020-06-24 15:20:11.086,2910,-200
1,2020-06-24 15:20:11.820,2924,-111
1,2020-06-24 15:20:12.995,2928,5
1,2020-06-24 15:20:13.596,2987,6
1,2020-06-24 15:20:14.482,3038,-8
1,2020-06-24 15:20:15.659,3173,-101
1,2020-06-24 15:20:15.837,3187,-108
1,2020-06-24 15:20:17.590,3349,-92
1,2020-06-24 15:20:21.982,3642,252
1,2020-06-24 15:20:22.715,3553,251
1,2020-06-24 15:20:22.859,3604,304
1,2020-06-24 15:20:23.231,3568,328
1,2020-06-24 15:20:24.711,3567,306
1,2020-06-24 15:20:26.663,3617,367
1,2020-06-24 15:20:36.931,3627,500
1,2020-06-24 15:20:37.999,3543,603
1,2020-06-24 15:20:38.473,3587,679
1,2020-06-24 15:20:38.738,3555,665
1,2020-06-24 15:20:41.401,3511,857
1,2020-06-24 15:20:43.391,3510,974
1,2020-06-24 15:20:44.866,3551,1032
1,2020-06-24 15:20:46.240,3501,1110
1,2020-06-24 15:20:49.518,3543,1467
1,2020-06-24 15:20:56.088,3560,2009
1,2020-06-24 15:20:59.798,3559,2250
1,2020-06-24 15:21:11.232,3152,2963
1,2020-06-24 15:21:12.231,3013,2793
1,2020-06-24 15:21:13.512,2923,2740
1,2020-06-24 15:21:01.000,2922,2706
1,2020-06-24 15:21:16.186,2928,2531
1,2020-06-24 15:21:16.590,2940,2517
1,2020-06-24 15:21:16.981,2916,2479
1,2020-06-24 15:21:17.173,2892,2451
1,2020-06-24 15:21:17.486,2960,2440
1,2020-06-24 15:21:19.771,2940,2254
1,2020-06-24 15:21:20.968,2947,2174
1,2020-06-24 15:21:21.216,2964,2152
1,2020-06-24 15:21:21.909,2954,2091
1,2020-06-24 15:21:22.233,2973,2051
1,2020-06-24 15:21:22.473,2948,2047
1,2020-06-24 15:21:23.195,2873,2000
1,2020-06-24 15:21:23.455,2946,1948
1,2020-06-24 15:21:24.165,2875,1913
1,2020-06-24 15:21:24.719,2939,1866
1,2020-06-24 15:21:28.176,2964,1600
1,2020-06-24 15:21:29.184,2925,1518
1,2020-06-24 15:21:29.425,2928,1512
1,2020-06-24 15:21:30.647,2815,1495
1,2020-06-24 15:21:31.722,2764,1277
1,2020-06-24 15:21:42.885,1930,1409
1,2020-06-24 15:21:51.393,1137,1425
1,2020-06-24 15:21:55.496,848,1429
1,2020-06-24 15:22:02.868,271,1376
1,2020-06-24 15:22:04.231,224,1451
1,2020-06-24 15:22:09.658,161,1974
1,2020-06-24 15:22:10.232,88,2019
1,2020-06-24 15:22:10.664,224,2089
1,2020-06-24 15:22:10.993,177,2122
1,2020-06-24 15:22:12.099,-100,2215
1,2020-06-24 15:22:13.730,34,2448
1,2020-06-24 15:22:13.923,-63,2432
1,2020-06-24 15:22:15.096,-246,2581
1,2020-06-24 15:22:22.510,593,2925
1,2020-06-24 15:22:28.120,911,2876
1,2020-06-24 15:22:32.922,1182,2822
1,2020-06-24 15:22:33.164,1181,2764
1,2020-06-24 15:22:39.699,1242,2233
1,2020-06-24 15:22:40.974,1177,2193
1,2020-06-24 15:22:41.032,1118,2176
1,2020-06-24 15:22:44.565,1181,1933
1,2020-06-24 15:22:44.566,1151,1912
1,2020-06-24 15:22:46.501,1204,1832
1,2020-06-24 15:22:46.956,1254,1766
